fund_id,fb_primarykey,FundKey,ManagerKey,AsOfDate,NAV,NAV_1,NAV_3,NAV_5,NAV_10,NAV_15,NAV_ME,NAV_QE,NAV_YE
1519-12,X'797C649345FAECE5C0A80133',797C649345FAECE5C0A80133,CADB2D50442857DEC0A80133,9/30/2016,18.6187,17.975,17.0009,10.3715,,,18.876,18.9796,18.0812
1462-7,X'79821820427148C8C0A80132',79821820427148C8C0A80132,4B7A57A93EABBC3BC0A80133,9/30/2016,18.0487,17.5563,16.7597,13.1391,12.2408,,18.06,18.067,17.8706
1200-8,X'798765664C751253C0A80135',798765664C751253C0A80135,93245DF743033E74C0A80133,9/30/2016,22.3999,22.3386,18.9154,10.9485,,,22.5377,21.4373,22.0476
5174-3,X'798B46793F00654DC0A80134',798B46793F00654DC0A80134,EDDE0C9D3EF9E0B3C0A80133,9/30/2016,21.1301,18.8164,19.5303,16.9236,14.8255,,20.441,18.892,18.5199
3212-1,X'798D13D35317A5D2C0A86F99',798D13D35317A5D2C0A86F99,65F013D35317A4C0C0A86F99,9/30/2016,9.747,9.8455,,,,,9.755,9.7719,9.8209
1510-8,X'799136FF4CD903A1C0A80134',799136FF4CD903A1C0A80134,67FA500B44091454C0A80134,9/30/2016,11.6285,10.6828,11.5406,9.4867,,,11.4518,11.0896,10.6731
4982-4,X'79936A9C3A13F8B9C0A80119',79936A9C3A13F8B9C0A80119,8A0943C239DE431CC0A80119,9/30/2016,13.3858,13.074,12.1741,10.0468,10.2397,6.3794,13.5369,13.3568,13.2874
60-12,X'799952BE50E375C8C0A80134',799952BE50E375C8C0A80134,38B55BE039733557C0A801E1,9/30/2016,8.8447,9.3716,10.103,,,,9.1101,8.2357,9.1956
7717-4,X'799B20D93B8A91FFC0A801E0',799B20D93B8A91FFC0A801E0,E75D57B63B5F3C4AC0A801E0,9/30/2016,6.7035,6.1266,6.3218,4.9228,12.9851,8.9077,6.4053,6.0414,6.1144
711-2,X'79A01EEC3BC4BF75C0A801E0',79A01EEC3BC4BF75C0A801E0,A87600A93A750983C0A80119,9/30/2016,35.7305,38.0398,35.9108,23.586,26.5942,,35.9344,35.0424,39.8845
5901-1,X'79AD29E34591C69BC0A80132',79AD29E34591C69BC0A80132,98E429E34591B533C0A80132,9/30/2016,33.7555,36.6867,23.694,19.232,,,32.5098,30.2466,32.6294
5131-1,X'79AD74723F65BB8BC0A80133',79AD74723F65BB8BC0A80133,011D3AF53BDF3259C0A80118,9/30/2016,114.3596,121.4337,56.3665,23.926,17.29,,113.7019,107.1034,133.4678
5282-12,X'79B058344583D7D2C0A80135',79B058344583D7D2C0A80135,E91044A24040FED4C0A80132,9/30/2016,176.5274,169.2564,116.0833,56.167,,,185.1574,161.1408,187.4452
5023-2,X'79B33E8939EDECDCC0A80118',79B33E8939EDECDCC0A80118,31DB62DF39836CE4C0A80118,9/30/2016,56.7442,54.3658,34.8493,28.0052,12.155,6.9192,53.8505,48.2773,52.3237
4812-5,X'79B347E73A4ACF76C0A801E0',79B347E73A4ACF76C0A801E0,48D646B43A242028C0A80118,9/30/2016,13.6661,11.4906,10.4526,8.572,8.7134,7.4097,13.4733,12.708,12.3339
8704-1,X'79B5360D5763FC5BC0A86FA6',79B5360D5763FC5BC0A86FA6,79A8360D5763FA0CC0A86FA6,9/30/2016,10.1319,,,,,,10.0622,9.9975,
1651-1,X'79B651C545692933C0A80135',79B651C545692933C0A80135,E3FF313545692555C0A80134,9/30/2016,10.4597,8.7145,10.3422,7.1419,,,10.5875,9.4549,9.2374
5899-4,X'79B7055A39E62B25C0A80119',79B7055A39E62B25C0A80119,AE8D0E9639E4D608C0A80118,9/30/2016,16.9884,15.4663,13.624,10.8709,12.2668,7.1343,17.2188,16.9281,15.9822
5464-5,X'79BA03474305EA3AC0A80132',79BA03474305EA3AC0A80132,37C906C54252B5CAC0A80133,9/30/2016,21.5079,21.0005,16.1761,11.6459,11.8448,,21.9434,22.39,22.8981
1977-1,X'79BA5C8048AA2D2FC0A80135',79BA5C8048AA2D2FC0A80135,788E5C8048AA2CA7C0A80135,9/30/2016,19.3585,22.5002,18.0559,11.9577,,,19.4187,18.2959,19.9139
151-12,X'79BB27B83BECC155C0A801E1',79BB27B83BECC155C0A801E1,E63017BA3989E7D8C0A80118,9/30/2016,27.1228,26.4889,27.9592,17.6576,27.9141,,27.7148,28.7023,27.5001
2134-4,X'79BC33384C2BD986C0A80135',79BC33384C2BD986C0A80135,CB3F752E4B918A9EC0A80133,9/30/2016,23.9146,20.0342,16.4439,11.8936,,,23.4208,21.8347,21.1292
4130-1,X'79BD0A8454D8E89CC0A86F98',79BD0A8454D8E89CC0A86F98,79A40A8454D8E85CC0A86F98,9/30/2016,9.0016,7.3984,,,,,8.5787,8.7016,7.7201
