"UPPER(SUBSTRING(fb_primarykey,3,24))","fund_id"
"8D73147C4370E0BDC0A80134","1085-17"
"5033214B437BF6DFC0A80132","1085-18"
"3C83311B437F8701C0A80133","1085-19"
"0500735F42B0F045C0A80132","1085-2"
"07526BC943BD4888C0A80132","1085-20"
"DF532E4943C463CFC0A80134","1085-21"
"E858623844073DBEC0A80132","1085-24"
"8FF819604491907AC0A80133","1085-25"
"4B0F19604491A2C7C0A80133","1085-26"
"1D2B157D42B10934C0A80133","1085-3"
"F74A207342B6FCEDC0A80132","1085-6"
"1831207342B70034C0A80132","1085-7"
"0DBB653142B16F32C0A80132","1086-1"
"D41A4E4E4A91482FC0A80135","1086-11"
"5FD05C074AEB3A8FC0A80132","1086-12"
"CDA24B44528AB116C0A80135","1086-15"
"16EF04AE5551A6F2C0A86FA6","1086-16"
"C4620BB4555529A0C0A86FA6","1086-17"
"7C4655EF53765E36C0A86F99","1087-3"
"41491F2C40C8AA27C0A80134","1088-2"
"545A49283BC38BEAC0A80119","1088-4"
"F1D35AA7498D0A6CC0A80134","109-13"
"29EB18754D681B46C0A80134","109-14"
"1B644D26569F0F3CC0A86FA6","109-15"
"97C96A253F53DC8EC0A80133","109-4"
"223148323A246AE1C0A801E0","109-5"
"2BBB4DFE41F5A77AC0A80132","109-7"
"41042BA043BDD463C0A80132","109-8"
"59CF03A34433129BC0A80134","109-9"
"539751583EC3DF53C0A80134","1090-1"
"37B848FD3CA184D7C0A801E1","1090-13"
"F11D02CE3EC93115C0A80132","1090-2"
"ABA363A43BC4C313C0A80119","1090-3"
"AD7B63A43BC4C876C0A80119","1090-4"
"C38B63A43BC4DDA8C0A80119","1090-5"
"FD9A6E9C3BD5F51BC0A80118","1090-6"
"8A70239E3BF58BA1C0A80119","1090-7"
"E111490A3C030476C0A801E1","1090-8"
"E17270E43C13D27DC0A801E0","1090-9"
"F13052E8410D7C64C0A80133","1091-1"
"00BD73F83BC63757C0A80118","1091-2"
"DBC705693BCED47EC0A801E0","1091-3"
"5B232A2B55F18744C0A86FA6","1091-4"
"1603391755F1A251C0A86FA6","1091-5"
